Coverage Area,Incident ID,Date Time,Type,Longitude-100meter,Latitude-100meter
WashingtonDC7D,53-3,2006-01-27 03:35:11.313000,Single Gunshot,-77.001,38.861
WashingtonDC7D,53-16,2006-01-27 08:08:23.417000,Single Gunshot,-77.009,38.847
WashingtonDC7D,53-348,2006-01-27 18:31:51.237000,Multiple Gunshots,-76.997,38.827
WashingtonDC7D,53-362,2006-01-27 18:57:40.557000,Single Gunshot,-77.03,38.851
WashingtonDC7D,53-365,2006-01-27 19:03:00.213000,Single Gunshot,-76.984,38.847
WashingtonDC7D,53-411,2006-01-27 21:01:13.367000,Single Gunshot,-76.971,38.839
WashingtonDC7D,53-444,2006-01-28 00:33:08.380000,Single Gunshot,-76.993,38.846
WashingtonDC7D,53-449,2006-01-28 01:43:51.153000,Single Gunshot,-76.975,38.84
WashingtonDC7D,53-454,2006-01-28 03:13:46.617000,Multiple Gunshots,-76.986,38.86
WashingtonDC7D,53-456,2006-01-28 03:26:31.630000,Multiple Gunshots,-76.98,38.799
WashingtonDC7D,53-460,2006-01-28 07:05:05.780000,Multiple Gunshots,-76.997,38.833
WashingtonDC7D,53-652,2006-01-28 22:23:41.320000,Multiple Gunshots,-76.982,38.861
WashingtonDC7D,53-653,2006-01-28 22:31:57.693000,Multiple Gunshots,-76.984,38.862
WashingtonDC7D,53-659,2006-01-28 23:49:48.733000,Single Gunshot,-76.998,38.827
WashingtonDC7D,53-660,2006-01-28 23:52:50.383000,Single Gunshot,-77.004,38.825
WashingtonDC7D,53-665,2006-01-29 01:08:48.037000,Single Gunshot,-76.988,38.855
WashingtonDC7D,53-672,2006-01-29 02:04:18.637000,Single Gunshot,-76.99,38.834
WashingtonDC7D,53-677,2006-01-29 03:31:36.613000,Single Gunshot,-76.985,38.856
WashingtonDC7D,53-678,2006-01-29 03:38:57.637000,Single Gunshot,-77.008,38.829
WashingtonDC7D,53-715,2006-01-29 06:41:04.547000,Multiple Gunshots,-76.999,38.827
WashingtonDC7D,53-879,2006-01-29 18:19:06.447000,Multiple Gunshots,-77.003,38.839
WashingtonDC7D,53-880,2006-01-29 18:19:17.427000,Multiple Gunshots,-77.007,38.839
WashingtonDC7D,53-885,2006-01-29 18:30:17.223000,Single Gunshot,-76.946,38.818
WashingtonDC7D,53-913,2006-01-29 22:20:41.067000,Single Gunshot,-76.996,38.836
WashingtonDC7D,53-917,2006-01-30 01:25:11.690000,Single Gunshot,-77,38.86
WashingtonDC7D,53-920,2006-01-30 01:49:05.217000,Multiple Gunshots,-76.989,38.861
WashingtonDC7D,53-921,2006-01-30 02:54:47.777000,Single Gunshot,-76.984,38.841
WashingtonDC7D,53-922,2006-01-30 04:03:54.117000,Multiple Gunshots,-77,38.828
WashingtonDC7D,53-1117,2006-01-30 13:03:33.153000,Multiple Gunshots,-77,38.826
WashingtonDC7D,53-1118,2006-01-30 13:03:44.840000,Single Gunshot,-77.001,38.826
WashingtonDC7D,53-1152,2006-01-30 17:45:11.180000,Multiple Gunshots,-76.99,38.832
WashingtonDC7D,53-1164,2006-01-30 20:02:17.843000,Multiple Gunshots,-76.996,38.832
WashingtonDC7D,53-1165,2006-01-30 20:02:25.983000,Multiple Gunshots,-76.995,38.832
WashingtonDC7D,53-1166,2006-01-30 20:03:32.927000,Multiple Gunshots,-76.997,38.832
WashingtonDC7D,53-1167,2006-01-30 20:04:11.187000,Multiple Gunshots,-76.996,38.832
WashingtonDC7D,53-1168,2006-01-30 20:04:37.237000,Single Gunshot,-76.996,38.832
WashingtonDC7D,53-1169,2006-01-30 20:07:07.383000,Multiple Gunshots,-76.996,38.832
WashingtonDC7D,53-1172,2006-01-30 20:39:12.943000,Single Gunshot,-77.002,38.828
WashingtonDC7D,53-1181,2006-01-30 22:57:48.863000,Multiple Gunshots,-77.001,38.831
WashingtonDC7D,53-1987,2006-02-01 03:02:25.743000,Multiple Gunshots,-76.973,38.856
WashingtonDC7D,53-1988,2006-02-01 03:03:01.650000,Multiple Gunshots,-76.974,38.856
WashingtonDC7D,53-2077,2006-02-01 12:34:27.450000,Single Gunshot,-77.013,38.857
WashingtonDC7D,53-2138,2006-02-01 17:05:05.787000,Single Gunshot,-76.998,38.835
WashingtonDC7D,53-2170,2006-02-02 03:12:32.677000,Multiple Gunshots,-77.01,38.828
WashingtonDC7D,53-2171,2006-02-02 03:12:40.907000,Multiple Gunshots,-76.988,38.861
WashingtonDC7D,53-2451,2006-02-02 21:27:28.730000,Single Gunshot,-76.99,38.834
WashingtonDC7D,53-2452,2006-02-02 21:38:25.777000,Multiple Gunshots,-76.998,38.831
WashingtonDC7D,53-2454,2006-02-02 22:57:32.717000,Multiple Gunshots,-76.977,38.847
WashingtonDC7D,53-2465,2006-02-03 02:15:13.740000,Single Gunshot,-76.977,38.844
WashingtonDC7D,53-2838,2006-02-03 22:36:55.780000,Multiple Gunshots,-76.983,38.842
WashingtonDC7D,53-2843,2006-02-03 22:59:36.277000,Multiple Gunshots,-76.982,38.87
WashingtonDC7D,53-2844,2006-02-03 22:59:53.220000,Multiple Gunshots,-76.982,38.87
WashingtonDC7D,53-2849,2006-02-03 23:15:52.567000,Single Gunshot,-76.996,38.832
WashingtonDC7D,53-2850,2006-02-03 23:20:15.363000,Multiple Gunshots,-76.975,38.857
WashingtonDC7D,53-2851,2006-02-03 23:21:43.003000,Multiple Gunshots,-76.973,38.857
WashingtonDC7D,53-2852,2006-02-03 23:21:55.907000,Multiple Gunshots,-76.974,38.857
WashingtonDC7D,53-2853,2006-02-03 23:21:56.127000,Multiple Gunshots,-76.974,38.856
WashingtonDC7D,53-2854,2006-02-03 23:22:13.163000,Multiple Gunshots,-76.974,38.857
WashingtonDC7D,53-2860,2006-02-04 01:14:41.080000,Multiple Gunshots,-76.996,38.832
WashingtonDC7D,53-2862,2006-02-04 01:43:03.320000,Multiple Gunshots,-76.96,38.852
WashingtonDC7D,53-2870,2006-02-04 03:40:46.787000,Multiple Gunshots,-76.982,38.863
